Topic,Coverage Depth,Article Count,Uncovered Subtopics
Youth & Families,24,10,"child welfare, foster care, youth employment, after-school programs, child poverty, youth mental health, child abuse, runaway youth, youth violence prevention, summer programs"
Technology & Surveillance,28,12,"AI in government, digital divide, broadband access, facial recognition, algorithmic bias, smart city, data privacy, cybersecurity, edtech, govtech"
Immigration,33,18,"sanctuary city, workforce integration, ICE enforcement, deportation, immigration courts, language access, migrant shelters, work permits, unaccompanied minors, DACA, immigrant small business"
Education,34,16,"charter schools, literacy, special education, college access, DOE budget, school segregation, teacher shortage, school safety, absenteeism, gifted and talented"
Health,35,14,"opioid crisis, Medicaid, maternal mortality, lead poisoning, public hospitals, health insurance, COVID long-term effects, food insecurity, tobacco and vaping"
Climate & Environment,43,19,"heat deaths, environmental justice, coastal resilience, green buildings, urban tree canopy, waste and recycling, clean energy, superfund sites, water quality"
Government & Accountability,56,22,"FOIL transparency, campaign finance, city council oversight, public authorities, agency performance, inspector general, voter participation"
Economy,64,24,"small business, minimum wage, gig economy, commercial vacancies, childcare costs, tech industry"
Transportation,72,24,"bike safety, MTA funding, subway service, e-bikes and scooters"
Public Safety,75,31,"hate crimes, domestic violence, community violence intervention, police oversight, stop and frisk, gang violence"