URL,Outbound Link Count
/,49
/data,37
/issue-3,36
/commentary,35
/issue-2,32
/issue-1,30
/crime-looking-back-at-2025-and-ahead-to-2026,29
/issue-4,29
/archive,28
/culture,28
/stanley-richards-rikers-island-nyc-jails,20
/issues,19
/free-observation-decks-new-york,19
/zohran-mamdani-technology-innovation-new-york,19
/renita-francois-interview-neighborhood-safety,19
/rental-ripoff-hearings-landlords-tenants-economics,19
/how-architecture-can-create-community-or-isolation,19
/without-congestion-pricing-a-hollowed-out-subway-investment-plan,19
/understanding-new-yorks-congestion-pricing-mess,19
/destroying-affordable-housing-in-order-to-save-it,19