Score,URL,Title,Meta Description,Errors,Warnings
35,/editors-picks/,Vital City | Vital City,,Missing meta description; Missing og:description; Missing og:image; Missing H1 tag,No structured data (JSON-LD) found
50,/archive/,Vital City | Vital City (Page 1),,Missing meta description; Missing og:description; Missing og:image,No structured data (JSON-LD) found
50,/authors/,Vital City | Vital City,,Missing meta description; Missing og:description; Missing og:image,No structured data (JSON-LD) found
50,/tags/,Vital City | Vital City,,Missing meta description; Missing og:description; Missing og:image,No structured data (JSON-LD) found
50,/account/,Vital City | Vital City,,Missing meta description; Missing og:description; Missing og:image,No structured data (JSON-LD) found
50,/membership/,Vital City | Vital City,,Missing meta description; Missing og:description; Missing og:image,No structured data (JSON-LD) found
50,/recommendations/,Vital City | Vital City,,Missing meta description; Missing og:description; Missing og:image,No structured data (JSON-LD) found
50,/signup/,Vital City | Vital City,,Missing meta description; Missing og:description; Missing og:image,No structured data (JSON-LD) found
50,/signin/,Vital City | Vital City,,Missing meta description; Missing og:description; Missing og:image,No structured data (JSON-LD) found
75,/about/,Vital City | About Us,,Missing meta description,Heading level skip: H1 → H3; 19 of 21 images missing alt text
80,/donate/,Vital City | Donate,,Missing meta description,Heading level skip: H1 → H3
80,/contributors/,Vital City | Contributors,Vital City represents the collective expertise of more than 300 contributors. Use the buttons below to filter by last name and discover the diverse voices shaping our work.,,"Meta description too long (172 chars, max 160); Heading level skip: H1 → H3; 254 of 427 images missing alt text; Large page size (515 KB)"
80,/culture/,Vital City | Culture,,Missing meta description,Heading level skip: H1 → H3
80,/data/,Vital City | Charts & Data Stories,,Missing meta description,Heading level skip: H1 → H3
85,/contribute/,Vital City | How to Write for Vital City,,Missing meta description,
85,/jails/,Vital City | Jails,,Missing meta description,
85,/subway-crime/,Vital City | Subway,,Missing meta description,
85,/crime/,Vital City | Crime,,Missing meta description,
85,/data-stories/,Vital City | Data Stories,,Missing meta description,
85,/privacy/,Vital City | Privacy Statement,,Missing meta description,
85,/rental-ripoff-hearings-landlords-tenants-economics/,"Vital City | Landlords: The ‘Good,’ the ‘Bad’ and the Ugly Financial Realities",Mayor Zohran Mamdani’s “Rental Ripoff Hearings” frame housing as a fight against bad landlords. But New York’s housing problems are rooted in deeper financial realities that affect both landlords and tenants.,,"Title too long (78 chars, max 60); Meta description too long (208 chars, max 160); 1 of 7 images missing alt text"
90,/,Vital City,"New York City News, Policy Analysis, Data & Urban Affairs",,Generic title — should be unique per page; 3 of 53 images missing alt text
90,/explorer/,Vital City | Data Explorer,"Drawing on more than 30 years of New York City crime data that’s available to the public nowhere else, the Vital City Data Explorer lets researchers and the general public dissect crime trends in New York City. Our thanks to Arnold Ventures for their generous support.",,"Meta description too long (268 chars, max 160); 1 of 3 images missing alt text"
90,/careers/,Vital City | Careers,"Vital City is a new policy venture that seeks to provide practical solutions to public safety problems. We promote our ideas through a policy journal, public convenings, policy briefings and other events. We are a small but dynamic team who are excited about cities, urban policy and public safety.",,"Meta description too long (298 chars, max 160); Heading level skip: H2 → H4"
90,/how-architecture-can-create-community-or-isolation/,Vital City | How Architecture Can Create Community — or Isolation,Some housing developments connect people to their neighborhoods; others turn them inward,,"Title too long (65 chars, max 60); 2 of 9 images missing alt text"
95,/experiments/,Vital City | Experiments,"The tools featured in this gallery were built by institutions, small teams and individuals, not by Vital City. In most cases, they relied on the help of emerging AI tools. Most are the equivalent of beta software — creative, illuminating and occasionally imperfect.",,"Meta description too long (265 chars, max 160)"
95,/commentary/,Vital City | Commentary,"Original essays, new research and data analysis on many of the biggest questions facing New York and other cities",,Heading level skip: H1 → H3
95,/commentary/,Vital City | Commentary,"Original essays, new research and data analysis on many of the biggest questions facing New York and other cities",,Heading level skip: H1 → H3
95,/commentary/,Vital City | Commentary,"Original essays, new research and data analysis on many of the biggest questions facing New York and other cities",,Heading level skip: H1 → H3
95,/issue-3/,Vital City | Vital City | Issue 3,The indelible mark of neighborhoods,,"Meta description too short (35 chars, min ~50)"
95,/issue-4/,Vital City | Vital City | Issue 4,How life changes when things get hot,,"Meta description too short (36 chars, min ~50)"
95,/free-observation-decks-new-york/,Vital City | Observation Decks for All New Yorkers,Bring what’s high above the city down to earth,,"Meta description too short (46 chars, min ~50)"
95,/zohran-mamdani-technology-innovation-new-york/,Vital City | Technology Transformation Will Make or Break Progressive Governance,Mayor Mamdani should revitalize New York City government’s capacity to innovate.,,"Title too long (80 chars, max 60)"
95,/renita-francois-interview-neighborhood-safety/,Vital City | Reducing Crime by Improving Neighborhoods,"In January, Renita Francois — who has just been appointed as Mayor Mamdani's deputy mayor of community safety — joined Jamie Rubin to discuss helping residents define and co-produce their own safety.",,"Meta description too long (199 chars, max 160)"
100,/crime-looking-back-at-2025-and-ahead-to-2026/,"Vital City | Crime: Looking Back at 2025, and Ahead to 2026","What happened in New York City and nationally, and what will happen next?",,
100,/issue-1/,Vital City | Vital City | Issue 1,Vital City's first issue looks at the problem of gun violence and how it might be solved.,,
100,/issue-2/,Vital City | Vital City | Issue 2,What is “disorder”? And what should we do about it?,,
100,/just-fix-it/,Vital City | Just Fix It,Ideas for improving the basic mechanics of governing in New York City,,
100,/issues/,Vital City | The Journal,"Featuring original commentary, new research and data analysis from leading thinkers, practitioners and neighborhood voices.",,
100,/policy/,Vital City | Policy,Vital City's recommendations for how to address some of the toughest urban problems,,